Address,Type,Datetime,Latitude,Longitude,Incident Number
15th Av Nw / Nw 54th St,Aid Response,05/22/2019 11:21:00 PM,47.667891,-122.37621599999999,F190052140
913 S Jackson St,Rescue Elevator,05/22/2019 11:17:00 PM,47.59919,-122.32084099999999,F190052139
94 Pike St,Aid Response,05/22/2019 11:10:00 PM,47.608725,-122.34024199999999,F190052138
4219 S Othello St,Trans to AMR,05/22/2019 11:06:00 PM,47.53705,-122.280473,F190052137
720 Seneca St,Unk Odor,05/22/2019 11:01:00 PM,47.609088,-122.33045700000001,F190052136
352 Nw 46th St,Activated CO Detector,05/22/2019 10:57:00 PM,47.662187,-122.36133899999999,F190052135
5016 S Fletcher St,Medic Response,05/22/2019 10:52:00 PM,47.519046,-122.270977,F190052134
Ne 47th St / 19th Av Ne,Aid Response,05/22/2019 10:48:00 PM,47.663051,-122.30721799999999,F190052133
2330 1st Av,Auto Fire Alarm,05/22/2019 10:39:00 PM,47.613603000000005,-122.346898,F190052129
7505 M L King Jr Way S,Aid Response,05/22/2019 10:37:00 PM,47.535278999999996,-122.280845,F190052128
607 Maynard Av S,Aid Response,05/22/2019 10:36:00 PM,47.597453,-122.32506200000002,F190052127
1519 California Av Sw,Trans to AMR,05/22/2019 10:08:00 PM,47.590348999999996,-122.386192,F190052122
1709 34TH AV,Investigate Out Of Service,05/22/2019 10:05:00 PM,47.616589000000005,-122.289203,F190052120
25th Av Ne / Montlake Blvd Ne,Aid Response,05/22/2019 10:00:00 PM,47.658982,-122.30113899999999,F190052119
4700 12th Av Ne,Aid Response,05/22/2019 09:58:00 PM,47.663106,-122.31526299999999,F190052118
500 5th Av,Medic Response,05/22/2019 09:57:00 PM,47.602985,-122.328535,F190052117
360 W Ewing St,Aid Response,05/22/2019 09:56:00 PM,47.652204,-122.362075,F190052116
2200 2nd Av,Aid Response,05/22/2019 09:55:00 PM,47.613271000000005,-122.344353,F190052115
1930 Boren Av,Aid Response,05/22/2019 09:46:00 PM,47.617173,-122.33310300000001,F190052114
720 Seneca St,Unk Odor,05/22/2019 09:45:00 PM,47.609088,-122.33045700000001,F190052113
10700 CORLISS AV N,Illegal Burn,05/22/2019 09:43:00 PM,47.706831,-122.331277,F190052112
11030 5th Av Ne,Aid Response,05/22/2019 09:35:00 PM,47.709488,-122.323301,F190052111
4716 BROOKLYN AV NE,Aid Response,05/22/2019 09:30:00 PM,47.663191,-122.314237,F190052109
627 1st Av,Aid Response,05/22/2019 09:26:00 PM,47.60195,-122.33417800000001,F190052107
